day,date,point_forecast,mean,median,std,q05,q25,q75,q95
1,2025-10-28,53741.48,53890.469388024605,53215.12884428481,14984.22728407172,29482.463126941584,43381.841465026846,64212.1683513851,79322.88378130969
2,2025-10-29,457745.84,457735.075692941,457633.1464528886,21814.86325770806,421764.50823131274,443104.93176773743,472404.10408132244,494532.56794450566
3,2025-10-30,457745.84,457905.10332208965,457055.3892668037,24874.156975603557,415903.9880379914,440514.12159061665,475440.623031071,499284.52002723113
4,2025-10-31,457745.84,456959.07841058576,456851.5193933579,29397.80077118901,408627.2269229833,437444.82092148013,477290.3128911178,503397.7596122554
5,2025-11-01,457745.84,458322.6129986951,458065.5472822358,33477.98229058201,403190.2765691214,435998.40904111473,481601.13203532447,513284.66448359843
6,2025-11-02,457745.84,459198.28171393427,459115.4100900879,36759.51431537973,398598.6726685964,435270.736754779,482939.7800840354,518151.2048049047
7,2025-11-03,457745.84,458026.8170788838,458947.77665452386,40831.054509966045,389151.969979821,430967.7943565026,486170.69305168476,525541.7946253277
8,2025-11-04,457745.84,456503.8752568368,457995.30887929036,42146.41544272393,389364.66793300223,428961.3822769723,482979.3326697287,525928.3532316741
9,2025-11-05,457745.84,457572.2292685551,457010.7697629257,46705.80015867495,381858.26486824895,425273.8536842072,488619.5134112133,534642.748732753
10,2025-11-06,468924.2,468853.4243207952,467618.115253381,48524.24121208624,389945.7842392792,436067.69648000697,502075.5428043424,548476.7237256876
11,2025-11-07,457745.84,456493.9287967378,455851.3097833912,49267.061473443195,374466.0386495894,421310.03821215953,493593.08016170625,536124.950059986
12,2025-11-08,457745.84,458167.8041785896,459620.0549492347,51666.535343847434,373937.63341407565,421135.4429813248,490732.32441549486,546336.6012909508
13,2025-11-09,457745.84,456104.52511385566,457967.54713112034,55487.249082720766,366237.3894237085,418339.6530218972,494950.5184094968,544394.5416602667
14,2025-11-10,468924.2,467655.273772425,465604.38434869243,57804.726038723915,373241.62409265706,429165.04970379954,506189.5586756505,563614.3424389544
15,2025-11-11,468924.2,468470.1473351413,470335.36500657,56841.70648816032,373672.1348634874,430177.2816262452,509299.27773678,558654.9600571806
16,2025-11-12,468924.2,469819.3325294078,469632.23525526037,60433.133667313545,367119.5194833741,429726.0119691071,511972.1895256537,564563.9450806218
17,2025-11-13,457745.84,461413.8182299097,460448.67486222554,63181.23092960643,358432.33944408485,419082.2907164308,503572.6826134471,566172.2177674924
18,2025-11-14,457745.84,462480.71509109734,461473.8615849624,62966.722757109404,359222.2554207805,421959.29616162844,504967.5383897905,563080.5021574748
19,2025-11-15,468924.2,468607.4894377711,469191.5207055933,64943.7639219653,360624.2591214733,425267.22046442376,514256.47900089016,574952.6590062802
20,2025-11-16,468924.2,465761.5745109203,465875.40472536953,66238.6482672925,357414.55579004675,423154.0609154725,506657.22713347856,578741.6816025898
21,2025-11-17,468924.2,469274.80096586625,467378.61407064466,67925.0516964514,359985.8929472399,424045.366188249,516417.5068587218,582295.6562561346
22,2025-11-18,457745.84,462558.30460670276,462275.90446881327,70524.37934009974,346635.80954683607,416925.9700652763,510197.1539243505,571590.7528110868
23,2025-11-19,457745.84,458197.00652731524,457837.1535817968,72733.73387794461,336296.1940258049,409748.5741138903,506702.6091504182,580544.8427224216
24,2025-11-20,468924.2,468009.54163663386,469029.18854444823,72527.43989207095,345518.7522540477,419060.73371564137,515214.3934037112,588437.4348388478
25,2025-11-21,468924.2,468824.66357673437,469827.0516140167,72206.1847581113,346066.77318472153,420262.293946268,517620.9681804194,585278.7280969677
26,2025-11-22,468924.2,469317.24148727953,466273.3734655237,74504.86952742325,349662.1558965084,418509.30731545296,520118.6626939054,593158.6679026361
27,2025-11-23,468924.2,468621.6287370226,468220.693026826,77336.03928173966,342022.8109491177,417918.9619881034,519860.51180216763,596066.4385879077
28,2025-11-24,468924.2,465644.9777062016,465265.2941729504,79877.99523688946,338700.73254589905,408146.2337394389,518114.2876719349,596826.8873281014
29,2025-11-25,468924.2,469546.16440559103,471380.9427047741,83647.29115888303,327365.0108929064,412839.81310028065,526417.8160450952,601585.6260879851
30,2025-11-26,457745.84,458777.5881023273,457011.0054166273,80819.12025458018,330477.28634966206,403693.367153154,510187.35729664075,595737.9874140823
